('哪一颗牙最后一次长出来？', '答案: 假牙')
('如果你在尼斯湖划船时，水怪突然在附近冒了出来', '如果你在尼斯湖划船时，水怪突然在附近冒了出来，而你却忘了带相机，这时该怎么办？&mdash;&mdash; 答案: 别担心别的游客会拍下你最后的镜头 \u3000\u3000')
('谁的双手永远都是空的', '问：谁的双手永远都是空的？\u3000\u3000答：乞丐。')
('为什么不用交租的房子谁也不愿意去住', '问：为什么不用交租的房子谁也不愿意去住？\u3000\u3000答：监狱。')
('谁给刘德华喝忘情水', '问：谁给刘德华喝忘情水？\u3000\u3000答：阿哈，给我一杯忘情水。')
('什么时候扇扇子火气最大', '问：什么时候扇扇子火气最大？\u3000\u3000答：冬天。（夏天本是凉爽的季节，如果有扇子相伴，那是最自在不过了。可是如果是在寒意十足的冬天扇扇子，无论是谁，火气都是相当大。）')
('你知道写什么信最钱最多吗', '问：你知道写什么信最钱最多吗？\u3000\u3000答：写勒索信。')
('什么地方的病人喜怒无常', '问：什么地方的病人喜怒无常？\u3000\u3000答：疯人院。')
('谁跑的最快？（打一历史人物）', '问：谁跑的最快？（打一历史人物）\u3000\u3000答：曹操。')
('什么路不能走', '问：什么路不能走？\u3000\u3000答：绝路、死路。')
('一男一女智力大比拼,为什么输的总是男人', '问：一男一女智力大比拼,为什么输的总是男人？\u3000\u3000答：因为难得（男的）糊涂。')
('波斯湾战争时伊军在夜间的死伤比美军多,为什么', '问：波斯湾战争时伊军在夜间的死伤比美军多,为什么？\u3000\u3000答：美国黑人较多。')
('键盘上从a到l打出来的是什么', '问：键盘上从a到l打出来的是什么？\u3000\u3000答：爱上对方过后就哭了。')
('在哪里画一个圈圈永远也跳不过去', '问：在哪里画一个圈圈永远也跳不过去？\u3000\u3000答：画在自己身上。')
('江家有三女,谁的身材最辣', '问：江家有三女,谁的身材最辣？\u3000\u3000答：大女儿，因为姜还是老的辣。')
('你知道什么样的西红柿会将人打成脑震荡吗', '问：你知道什么样的西红柿会将人打成脑震荡吗？\u3000\u3000答：罐装的西红柿。')
('网上的男人多还是女人多', '问：网上的男人多还是女人多？\u3000\u3000答：女人。因为可以骗更多的男人上网。')
('世界上有一种马，由黑白颜色组成，不是斑马，那么请问是什么马', '问：世界上有一种马，由黑白颜色组成，不是斑马，那么请问是什么马？\u3000\u3000答：二维码。')
('俗话说嫁出去的姑娘泼出去的水，所以结婚纪念日又可以称为什么节呢', '问：俗话说嫁出去的姑娘泼出去的水，所以结婚纪念日又可以称为什么节呢？\u3000\u3000答：泼水节。')
('无论再体面的男人，在我的地盘都要放下面子。无论再贞节的烈女，在我这里也要让她们脱的一丝不挂', '问：无论再体面的男人，在我的地盘都要放下面子。无论再贞节的烈女，在我这里也要让她们脱的一丝不挂。你说我做什么呢？\u3000\u3000答：因为我是开澡堂的。')
('都周一了，大家都在上班干活，只有盐不干活？为什么呢', '问：都周一了，大家都在上班干活，只有盐不干活？为什么呢？\u3000\u3000答：因为盐很咸（闲）啊。')
('一个人跳崖自杀，但是没有屎掉，你说这是为什么', '问：一个人跳崖自杀，但是没有屎掉，你说这是为什么？\u3000\u3000答：因为他跳崖前拉干净了！')
('这球男女会，左右分两队，中间网很高，扣球常跳腿，这是什么球', '问：这球男女会，左右分两队，中间网很高，扣球常跳腿，这是什么球？\u3000\u3000答：是排球。')
('明明一天没吃东西了，可是我却撑得不行，你们知道为什么吗', '问：明明一天没吃东西了，可是我却撑得不行，你们知道为什么吗？\u3000\u3000答：因为我又不是明明。')
('可乐和咖啡在聊天。你觉得他们俩谁更长寿啊', '问：可乐和咖啡在聊天。你觉得他们俩谁更长寿啊？\u3000\u3000答：咖啡更长寿，因为聊着聊着，可乐就没气了')
('有一个不同寻常的妹子，她不出轨会死！而且她老公还希望她出轨！为什么呢', '问：有一个不同寻常的妹子，她不出轨会死！而且她老公还希望她出轨！为什么呢？\u3000\u3000答：妹子在铁轨上，火车就来了。')
('一些父母都是帅哥美女，可为什么生出的孩子很难看', '问：一些父母都是帅哥美女，可为什么生出的孩子很难看？\u3000\u3000答：因为龙风成翔。')
('小明是学校出了名的逃课王，几乎有课必逃，但是有一种课，他却不逃，并且永远准时。请问是哪一课', '问：小明是学校出了名的逃课王，几乎有课必逃，但是有一种课，他却不逃，并且永远准时。请问是哪一课？\u3000\u3000答：下课。')
('世界上有什么东西可以用接近2000公里每小时的速度载着人类飞速奔驰，而且它中途不必停下来加油或补充其它燃料', '问：世界上有什么东西可以用接近2000公里每小时的速度载着人类飞速奔驰，而且它中途不必停下来加油或补充其它燃料？\u3000\u3000答：人类所生存的地球。')
('有一只狼来到了北极，不小心掉到冰海中，被捞起来时变成了什么', '问：有一只狼来到了北极，不小心掉到冰海中，被捞起来时变成了什么？\u3000\u3000答：槟榔。')
('舒心只留人于口，一人至上一人下，两人唯求望寸日，最终仅剩尔一人。(猜四字）', '问：舒心只留人于口，一人至上一人下，两人唯求望寸日，最终仅剩尔一人。(猜四字）？\u3000\u3000答：“舍不得你”啦！')
('森林学院开始上课了，小动物们都来到教室，上课老师抽查背课文，小猪，小狗，小猫都举手了，老师会叫谁', '问：森林学院开始上课了，小动物们都来到教室，上课老师抽查背课文，小猪，小狗，小猫都举手了，老师会叫谁？\u3000\u3000答：小狗，因为旺旺仙贝。')
('有一天，有一根火柴棒它头很痒，就去抓，头就烧起来了。然后被送去医院，从急诊室出来之后，猜猜变成什么了', '问：有一天，有一根火柴棒它头很痒，就去抓，头就烧起来了。然后被送去医院，从急诊室出来之后，猜猜变成什么了？\u3000\u3000答：棉花棒，因为头被包扎起来了。')
('有个叫汉姆的老师，每天都很辛苦地备课，时间久了，大家给他起了另外一个名字，知道是什么吗', '问：有个叫汉姆的老师，每天都很辛苦地备课，时间久了，大家给他起了另外一个名字，知道是什么吗？\u3000\u3000答：贝克汉姆。')
('世界上最高的三种动物是什么', '问：世界上最高的三种动物是什么？\u3000\u3000答：猪、母狼、马蜂（珠穆朗玛峰）。')
('林黛玉和李嘉欣参加面试，如果你是考官，你会录用谁', '问：林黛玉和李嘉欣参加面试，如果你是考官，你会录用谁？\u3000\u3000答：当然林黛玉啦！（零待遇）。')
('世界上什么书用钱买不到', '问：世界上什么书用钱买不到？\u3000\u3000答：遗书。')
('人的右手永远抓不到什么', '问：人的右手永远抓不到什么？\u3000\u3000答：右手。')
('小明、小强和小敏在打游戏，他们的妈妈都来叫他们回家吃饭。三个孩子都乖乖回家了，可是还有一个人不肯走，他是谁', '问：小明、小强和小敏在打游戏，他们的妈妈都来叫他们回家吃饭。三个孩子都乖乖回家了，可是还有一个人不肯走，他是谁？\u3000\u3000答：他是一个叫游戏的小孩子！')
('一个女孩子，既没有生养孩子，也没有被认作干娘，也没有认领养子养女，就先当上了娘', '问：一个女孩子，既没有生养孩子，也没有被认作干娘，也没有认领养子养女，就先当上了娘？\u3000\u3000答：她是新娘。')
('你知道天的儿子叫什么名字吗', '问：你知道天的儿子叫什么名字吗？\u3000\u3000答：我材（因为天生我材！）。')
('你知道风的儿子叫什么吗', '问：你知道风的儿子叫什么吗？\u3000\u3000答：水起（因为风生水起！）')
('什么东西往上升了，就永远都掉不下来', '问：什么东西往上升了，就永远都掉不下来？\u3000\u3000答：我们的年龄。')
('早上，玲玲到刘大妈那儿买茶叶蛋，手上的钱正好够买两个，刘大妈却不肯卖给她，这是怎么回事', '问：早上，玲玲到刘大妈那儿买茶叶蛋，手上的钱正好够买两个，刘大妈却不肯卖给她，这是怎么回事？\u3000\u3000答：因为茶叶蛋还没有煮好。')
('黑猫和白猫一起出去探险，在经过一个大坑的时候，一起跳了过去，但是谁在跳的时候发抖了', '问：黑猫和白猫一起出去探险，在经过一个大坑的时候，一起跳了过去，但是谁在跳的时候发抖了？\u3000\u3000答：黑猫，因为黑猫警长（紧张）。')
('美丽的鲜花长大后，离开了青梅竹马的草，嫁给了英俊魁梧的树。为什么', '问：美丽的鲜花长大后，离开了青梅竹马的草，嫁给了英俊魁梧的树。为什么？\u3000\u3000答：因为现在和谐社会，我们要和木（睦）共处！')
('有一棵三角形的树被送到北极去种，请问长大后！那棵树叫什么', '问：有一棵三角形的树被送到北极去种，请问长大后！那棵树叫什么？\u3000\u3000答：三角函数。')
('什么东西人们在不停地吃它，却永远吃不饱', '问：什么东西人们在不停地吃它，却永远吃不饱？\u3000\u3000答：空气。')
('数字1到9里面，哪一个数字是最懒惰的，哪一个是最勤奋的', '问：数字1到9里面，哪一个数字是最懒惰的，哪一个是最勤奋的？\u3000\u3000答：1最懒惰，2最勤奋，知道为什么吗？因为一不做二不休啊！')
('最最黑暗的动漫人物是谁', '问：最最黑暗的动漫人物是谁？\u3000\u3000答：机器猫。因为他伸手不见五指。')
('一群动物开完派对后，冲进便利商店买东西，结果都被店员打了出来，却独留小羊在店里面，请问是为什么', '问：一群动物开完派对后，冲进便利商店买东西，结果都被店员打了出来，却独留小羊在店里面，请问是为什么？\u3000\u3000答：便利商店24小时不打烊啊！')
('一个侍者给客人上啤酒，一只苍蝇掉进杯子里面，侍者和客人都看见了，请问谁最倒霉', '问：一个侍者给客人上啤酒，一只苍蝇掉进杯子里面，侍者和客人都看见了，请问谁最倒霉？\u3000\u3000答：是苍蝇。掉水里不说，而且还要被两个人杀了！')
('小明和大明的爸爸妈妈都相继去世了，大明就负责到外面打工赚钱养小明，那请问谁负责养大明呢？猜一成语', '问：小明和大明的爸爸妈妈都相继去世了，大明就负责到外面打工赚钱养小明，那请问谁负责养大明呢？猜一成语。\u3000\u3000答：久仰大名！')
('小明耳朵没问题，也不会超能力，但是为什么他发出某种声音的时候自己却听不见呢？不知道了吧', '问：小明耳朵没问题，也不会超能力，但是为什么他发出某种声音的时候自己却听不见呢？不知道了吧！\u3000\u3000答：他听不见自己的呼噜声。')
('什么路窄得不能走？什么路越走越晕乎？什么路人人梦寐以求？什么路让你听了气呼呼', '问：什么路窄得不能走？什么路越走越晕乎？什么路人人梦寐以求？什么路让你听了气呼呼？\u3000\u3000答：线路、迷路、财路、八格牙路。')
('船边挂着软梯，离海面相差2米，海水每隔一小时上涨半米，几个小时海水能淹没软梯', '问：船边挂着软梯，离海面相差2米，海水每隔一小时上涨半米，几个小时海水能淹没软梯？\u3000\u3000答：水涨船高，所以永远不会淹没软梯。')
('上课铃声都响了，却没有一个同学在教室里，怎么回事', '问：上课铃声都响了，却没有一个同学在教室里，怎么回事？\u3000\u3000答：上的是体育课。')
('有个城市分为南北两区：南区人爱说谎；北区人诚实。一游客迷路，害怕问不到真话。他若想可以确定路人身份的话，该怎么问呢', '问：有个城市分为南北两区：南区人爱说谎；北区人诚实。一游客迷路，害怕问不到真话。他若想可以确定路人身份的话，该怎么问呢？\u3000\u3000答：你是男还是女？')
('有个地方发生了很严重的火灾，虽然有很多人在救火，但就是没人打119报火警，这是为什么呢', '问：有个地方发生了很严重的火灾，虽然有很多人在救火，但就是没人打119报火警，这是为什么呢？\u3000\u3000答：哈哈，因为着火的地方就在消防队！')
('有一种活动能够准确无误地告诉你：美人不是天然长成的，而是七嘴八舌说出来，开动脑筋抢出来的。这是什么活动', '问：有一种活动能够准确无误地告诉你：美人不是天然长成的，而是七嘴八舌说出来，开动脑筋抢出来的。这是什么活动？\u3000\u3000答：选美。')
('这是个非常严肃的问题！请问，哪个月女人话是最少', '问：这是个非常严肃的问题！请问，哪个月女人话是最少？\u3000\u3000答：不准一个一个的猜。不要想歪了哦。好吧，偷偷告诉你，是二月，因为二月天数最少。')
('小明带了一百元去买一个七十五元的东西，但老板却只找了五元给他，为什么', '问：小明带了一百元去买一个七十五元的东西，但老板却只找了五元给他，为什么？\u3000\u3000答：因为小明只拿出了其中的80元给老板！')
('住在台湾乡下的老李，每天早晨都听着公鸡叫起床，现在到了美国儿子家，无论公鸡如何叫，老李都醒不来，为什么', '问：住在台湾乡下的老李，每天早晨都听着公鸡叫起床，现在到了美国儿子家，无论公鸡如何叫，老李都醒不来，为什么？\u3000\u3000答：因为美国公鸡用英语发音。')
('原本心上生，人伴尔旁边，二人来相见，一大堆祝福，士下张个口，示旁拴只羊，女子一开口，音传遍心间', '问：原本心上生，人伴尔旁边，二人来相见，一大堆祝福，士下张个口，示旁拴只羊，女子一开口，音传遍心间。\u3000\u3000答：日报。')
('小咪昨晚花了整整一个晚上在历史课本上，可第二天妈妈还是骂她不用功，为什么', '问：小咪昨晚花了整整一个晚上在历史课本上，可第二天妈妈还是骂她不用功，为什么？\u3000\u3000答：她用历史课本当枕头睡。')
('能否用树叶遮住天空', '问：能否用树叶遮住天空？\u3000\u3000答：只要用树叶盖住眼睛。')
('一头牛，向北走10米，再向西走10米，再向南走10米，倒退右转，问牛的尾巴朝哪儿', '问：一头牛，向北走10米，再向西走10米，再向南走10米，倒退右转，问牛的尾巴朝哪儿？\u3000\u3000答：朝地。')
('为什么黑人喜欢吃白色巧克力', '问：为什么黑人喜欢吃白色巧克力？\u3000\u3000答：害怕咬到自己的手。')
('针掉到大海怎么办', '问：针掉到大海怎么办？\u3000\u3000答：再买一颗。')
('口吃的人最吃亏的是', '问：口吃的人最吃亏的是？\u3000\u3000答：打国际长途电话。')
('把8分成两半，是多少', '问：把8分成两半，是多少？\u3000\u3000答：0。')
('谁说话的声音传得最远', '问：谁说话的声音传得最远？\u3000\u3000答：打电话的人。')
('专爱打听别人事的人是谁', '问：专爱打听别人事的人是谁？\u3000\u3000答：记者。')
('用铁锤锤鸡蛋为什么锤不破', '问：用铁锤锤鸡蛋为什么锤不破？\u3000\u3000答：铁锤当然不会破了。')
('拳击冠军很容易被谁击倒', '问：拳击冠军很容易被谁击倒？\u3000\u3000答：瞌睡虫。')
('4个人在屋子里打麻将，警察来了，却带走了5个人，为什么?', '4个人在屋子里打麻将，警察来了，却带走了5个人，为什么? \u3000\u3000因为他们打的人叫&rdquo;麻将&ldquo;。')
('一位卡车司机撞倒一个骑摩托车的人，卡车司机受重伤，摩托车骑士却没事，为什么', '问：一位卡车司机撞倒一个骑摩托车的人，卡车司机受重伤，摩托车骑士却没事，为什么?\u3000\u3000答：卡车司机当时没开车。')
('孔子与孟子有什么区别', '问：孔子与孟子有什么区别?\u3000\u3000答：孔子的子在左边，孟子的子在上边。')
('毛毛虫回到家，对爸爸说了一句话，爸爸即场晕倒，毛毛虫说了什么话', '问：毛毛虫回到家，对爸爸说了一句话，爸爸即场晕倒，毛毛虫说了什么话?\u3000\u3000答：毛毛虫说：“我要买鞋。”')
('为什么小王从初一到初三就学了一篇课文', '问：为什么小王从初一到初三就学了一篇课文?\u3000\u3000答：初一到初三，两天学一课，算不错了。')
('门里站着一个人(打一字)', '问：门里站着一个人(打一字)\u3000\u3000答：闪。')
('古人为什麽要卧冰求鲤', '问：古人为什麽要卧冰求鲤?\u3000\u3000答：冰冰有鲤(礼)。')
('哪位历史人物最欠扁', '问：哪位历史人物最欠扁?\u3000\u3000答：苏武。原因：苏武牧羊北海边(被海扁)。')
('请问唐朝时有谁戴眼镜', '问：请问唐朝时有谁戴眼镜?\u3000\u3000答：李白(床前明月光，咦!是地上霜)。')
('为什么公主结婚了就不用挂蚊帐了', '问：为什么公主结婚了就不用挂蚊帐了?\u3000\u3000答：因为有青蛙王子。')
('有一颗豆，摔倒了，只有你才能鼓励他，请问为什么', '问：有一颗豆，摔倒了，只有你才能鼓励他，请问为什么?\u3000\u3000答：朱古力豆。')
('一只公鸡和一只母鸡(猜七个字)', '问：一只公鸡和一只母鸡(猜七个字)\u3000\u3000答：笨蛋，还是两只鸡。')
('一只公鸡和一只母鸡(猜五个字)', '问：一只公鸡和一只母鸡(猜五个字)\u3000\u3000答：还是两只鸡。')
('一只公鸡和一只母鸡(猜三个字)', '问：一只公鸡和一只母鸡(猜三个字)\u3000\u3000答：两只鸡。')
('麦当劳和肯德基谁比较大', '问：麦当劳和肯德基谁比较大?\u3000\u3000答：肯德基(麦当劳是叔叔，肯德基是爷爷)。')
('鸡蛋和巧克力打架，巧克力赢了', '问：鸡蛋和巧克力打架，巧克力赢了?(打一种食品)\u3000\u3000答：巧克力棒。')
('如何让饮料变大杯', '问：如何让饮料变大杯?\u3000\u3000答：念大悲咒。')
('白色的马叫白马，黑色的马叫黑马，黑白相间的马叫斑马，那么黑色白色红色相间的马叫什么马', '问：白色的马叫白马，黑色的马叫黑马，黑白相间的马叫斑马，那么黑色白色红色相间的马叫什么马?\u3000\u3000答：害羞的斑马。')
('哪个聊天工具最慢', '问：哪个聊天工具最慢?\u3000\u3000答：MSN(慢死呢)。')
('谁在弹奏萧邦的夜曲', '问：谁在弹奏萧邦的夜曲?\u3000\u3000答：维尼小熊(为你弹奏萧邦的夜曲)。')
('在哪里藏着你的鸽子', '问：在哪里藏着你的鸽子?\u3000\u3000答：屋顶(在屋顶唱着你的歌)。')
('让婴儿喝了三大杯啤酒，旁边的人为什么都不劝阻或责骂？', '老李带婴儿去喝酒，居然还让婴儿喝了三大杯啤酒，旁边的人为什么都不劝阻或责骂？&mdash;&mdash; 答案: 婴儿是那个人的外号')
('在果园里，一只猴子5分钟能掰几个玉米?', '猴子每分钟能掰一个玉米，在果园里，一只猴子5分钟能掰几个玉米?&mdash;&mdash; 答案: 没掰到一个')
('电视对人类最大的贡献是什么？', '电视对人类最大的贡献是什么？ &mdash;&mdash; 答案: 让世界了解了准时的好处\u3000')
('冬冬的爸爸牙齿非常好，可是他经常去口腔医院，为什么?', '一口咬去多半截。 &mdash;&mdash; 答案: 名\u3000\u3000')
('目前国内哪些人拒二手烟最积极？', '目前国内哪些人拒二手烟最积极？ &mdash;&mdash; 答案: 坚持抽第一手烟老烟枪\u3000\u3000')
('为什么森林里总派狮子去联系事情', '问：为什么森林里总派狮子去联系事情?\u3000\u3000答：失去联络。')
('为什么多啦A梦一辈子都生活在黑暗中', '问：为什么多啦A梦一辈子都生活在黑暗中?\u3000\u3000答：因为他伸手不见五指。')
('谁想起妈妈的话就会哭', '问：谁想起妈妈的话就会哭?\u3000\u3000答：爷爷(夜夜想起妈妈的话呀，闪闪的泪光，鲁冰花)。')
('什么牌子的汽车最讨厌别人摸', '问：什么牌子的汽车最讨厌别人摸?\u3000\u3000答：宝马BMW (别摸我)。')
('有ABCD..26个字母，如果ET走后剩多少个', '问：有ABCD..26个字母，如果ET走后剩多少个?\u3000\u3000答：21个 ET开走了UFO。')
('天的孩子叫什么', '问：天的孩子叫什么?\u3000\u3000答：我材(天生我材)。')
('风的孩子叫什么', '问：风的孩子叫什么?\u3000\u3000答：水起。(风生水起)')
('哪种动物最没有方向感', '问：哪种动物最没有方向感?\u3000\u3000答：麋鹿(迷路)。')
('狼、老虎和狮子谁玩游戏一定会被淘汰', '问：狼、老虎和狮子谁玩游戏一定会被淘汰?\u3000\u3000答：狼(桃太郎)。')
('红豆家的小孩是谁', '问：红豆家的小孩是谁?\u3000\u3000答：南国(红豆生南国)。')
('芹菜的屎是什么颜色的', '问：芹菜的屎是什么颜色的?\u3000\u3000答：黄色(秦始皇)。')
('有位妈妈生了连体婴，姐姐叫玛丽，那么妹妹叫做什么', '问：有位妈妈生了连体婴，姐姐叫玛丽，那么妹妹叫做什么?\u3000\u3000答：梦露。(玛利莲梦露)')
('下雨天没多少钱不要出门', '问：下雨天没多少钱不要出门?\u3000\u3000答：30000000。(没伞[3]千万别出门)')
('哪个牌子的电器最难闻', '问：哪个牌子的电器最难闻?\u3000\u3000答：TCL(太臭了)。')
('什么鱼最白痴', '问：什么鱼最白痴?\u3000\u3000答：鲨(傻)鱼。')
('什么鱼最聪明', '问：什么鱼最聪明?\u3000\u3000答：鲸(精)鱼。')
('为什麽刚出生的小孩就死了', '问：为什麽刚出生的小孩就死了?\u3000\u3000答：出生入死。')
('乌龟又把房子拆了，又盖了间房子，然后钻了进去(猜个保健品)', '问：乌龟又把房子拆了，又盖了间房子，然后钻了进去(猜个保健品)\u3000\u3000答：巨能钙。')
('小狗和小兔去老师那里背书，为什么老师让小狗先背', '问：小狗和小兔去老师那里背书，为什么老师让小狗先背?\u3000\u3000答：狗(旺旺仙贝)。')
('哪一首歌的第一句就出现了3个人', '问：哪一首歌的第一句就出现了3个人?\u3000\u3000答：我不是黄蓉(我，布什，黄蓉)。')
('吃葡萄不吐什么', '问：吃葡萄不吐什么?\u3000\u3000答：葡萄牙。')
('哪个门派的教徒不会撒谎啊', '问：哪个门派的教徒不会撒谎啊?\u3000\u3000答：全真教。')
('谁最喜欢伸出援手', '问：谁最喜欢伸出援手?\u3000\u3000答：多啦A梦。')
('有卖的，没买的，每天卖了不少的', '问：有卖的，没买的，每天卖了不少的\u3000\u3000答：门坎。')
('什么船最安全', '问：什么船最安全?\u3000\u3000答：停在海滩里的船。')
('山坡上有一群羊，来了一群羊。一共有几群羊', '问：山坡上有一群羊，来了一群羊。一共有几群羊?\u3000\u3000答：还是一群呀!')
('想把梦变成现实，第一步应该干什么', '问：想把梦变成现实，第一步应该干什么?\u3000\u3000答：起床。')
('松下为什么没索尼强', '问：松下为什么没索尼强?\u3000\u3000答：panasonic(怕了索尼哥)。')
('A和C谁比较高呢', '问：A和C谁比较高呢?\u3000\u3000答：C比较高(因为ABCD A比C低)。')
('茉莉花、太阳花、玫瑰花哪一朵花最没力', '问：茉莉花、太阳花、玫瑰花哪一朵花最没力?\u3000\u3000答：茉莉花。(好一夺没力[美丽]的茉莉花)。')
('猩猩最讨厌什么线', '问：猩猩最讨厌什么线?\u3000\u3000答：平行线。(平行线没有相交(香蕉))')
('有一只鲨鱼吃下了一颗绿豆,结果它变成了什么', '问：有一只鲨鱼吃下了一颗绿豆,结果它变成了什么?\u3000\u3000答：绿豆沙(绿豆鲨)。')
('丹丹是小狗的名字还是小老虎的名字', '问：丹丹是小狗的名字还是小老虎的名字?\u3000\u3000答：小老虎(虎视眈眈)。')
('如果有一台车，小明是司机，小华坐在他右边，小花坐在他后面，请问这台车是谁的呢', '问：如果有一台车，小明是司机，小华坐在他右边，小花坐在他后面，请问这台车是谁的呢?\u3000\u3000答：“如果”的。')
('四个人在屋子里打麻将，警察来了，却带走了5个人，为什么', '问：四个人在屋子里打麻将，警察来了，却带走了5个人，为什么?\u3000\u3000答：因为他们打的人叫&ldquo;麻将&rdquo;。')
('身穿着金色衣服的人(猜4字成语)', '问：身穿着金色衣服的人(猜4字成语)?\u3000\u3000答：一鸣惊人(一名金人)。')
('一条狗过了木桥之后就不叫了(猜4字成语)', '问：一条狗过了木桥之后就不叫了(猜4字成语)?\u3000\u3000答：过目不忘(过木不汪)。')
('生米煮成了熟饭该怎么办', '问：生米煮成了熟饭该怎么办?\u3000\u3000答：开饭吧!')
('司机进汽车后第一件事是什么', '问：司机进汽车后第一件事是什么?\u3000\u3000答：坐下。')
('一个没有胸部的巨大女人该怎么称呼', '问：一个没有胸部的巨大女人该怎么称呼?\u3000\u3000答：巨无霸。')
('每对夫妻都有的共同点是什么', '问：每对夫妻都有的共同点是...?\u3000\u3000答：同年同日结婚。')
('哪个欧洲国家的生意不批发', '问：哪个欧洲国家的生意不批发?\u3000\u3000答：丹麦(单卖)。')
('什么东西看不到却可以摸到，万一摸不到会把人吓到', '问：什么东西看不到却可以摸到，万一摸不到会把人吓到?\u3000\u3000答：脉搏。')
('吃辣椒时，看到什么动物就不辣了', '问：吃辣椒时，看到什么动物就不辣了?\u3000\u3000答：蟑螂。因为看见蟑螂我不怕不怕啦(辣)。')
('堂堂的中央图书馆，却没有明版的“康熙字典”，这是为什么？', '堂堂的中央图书馆，却没有明版的&ldquo;康熙字典&rdquo;，这是为什么？&mdash;&mdash; 答案: 康熙字典是清朝人编的 \u3000\u3000')
('小华说他能在1秒钟之内把房间和房间里的玩具都变没了', '&ldquo;只&rdquo;字加一笔，变成什么字？&mdash;&mdash; 答案: 冲（先把&ldquo;只&rdquo;立起来）\u3000\u3000')
('长胡子的山羊是母羊还是公羊？', '长胡子的山羊是母羊还是公羊？ &mdash;&mdash; 答案: 山羊无论公母都长胡子 \u3000')
('每个人都最爱的人是谁？', '每个人都最爱的人是谁？ &mdash;&mdash; 答案: 自己\u3000\u3000世界上最高的峰叫什么峰？ &mdash;&mdash; 答案: 高峰')
('一条小船要渡37人，一次只能有7人，几次能渡完？', '一群惧内的大丈夫们正聚集在一起商量怎样重振男子汉的雄风，突然听说他们的老婆来了，大家四处逃窜，惟独一人没有跑，为什么？ &mdash;&mdash; 答案: 吓死了')
('什么东西……5寸长，2.5寸宽，上面还有一个老人家', '问：什么东西&hellip;&hellip;5寸长，2.5寸宽，上面还有一个老人家?\u3000\u3000答：百元大钞。')
('新请的佣人跑了!打一水果', '问：新请的佣人跑了!打一水果\u3000\u3000答：葡萄(仆逃)。')
('谁是海的主人', '问：谁是海的主人?\u3000\u3000答：菠萝，因为波罗(菠萝)的海&hellip;&hellip;这是与北欧地名有关的水果谐音题。')
('2对父子去打猎，他们每人打了一只野鸭 ，但是总共却只有3只，为什么', '问：2对父子去打猎，他们每人打了一只野鸭 ，但是总共却只有3只，为什么?\u3000\u3000答：祖孙3人。')
('为什麽把刀涂成蓝色的枪就会很忧郁', '问：为什麽把刀涂成蓝色的枪就会很忧郁?\u3000\u3000答：刀枪不入(BLUE)。')
('一只狼钻进羊圈，想吃羊，可是它为啥没吃又没吃羊', '问：一只狼钻进羊圈，想吃羊，可是它为啥没吃又没吃羊?\u3000\u3000答：羊圈里没有羊。')
('哪个牌子的电器最难看', '问：哪个牌子的电器最难看?\u3000\u3000答：TCL(太丑了)。')
('小白很像他哥哥，为什么', '问：小白很像他哥哥，为什么?\u3000\u3000答：真相大白。')
('为什么篮球板上要抹两勺盐', '问：为什么篮球板上要抹两勺盐?\u3000\u3000答：一言难尽。')
('小白兔为什么要和嫦娥奔月', '问：小白兔为什么要和嫦娥奔月?\u3000\u3000答：因为嫦娥是萝卜腿。')
('为什么你看不到上帝的老二', '问：为什么你看不到上帝的老二?\u3000\u3000答：天机不可泄露。')
('什么剑是透明的', '问：什么剑是透明的?\u3000\u3000答：看不见。')
('A和B可以相互转化，B在沸水中可以生成C，C在空气中氧化成D，D有臭鸡蛋气味，问A,B,C,D各是什么', '问：A和B可以相互转化，B在沸水中可以生成C，C在空气中氧化成D，D有臭鸡蛋气味，问A,B,C,D各是什么?\u3000\u3000答：A鸡，B鸡蛋，C熟鸡蛋，D臭鸡蛋。')
('猪圈里的猪出来了，怎么办', '问：猪圈里的猪出来了，怎么办?\u3000\u3000答：王力宏。')
('鸡的妈妈是谁', '问：鸡的妈妈是谁?\u3000\u3000答：纸直升机(纸生鸡)。')
('为什么大三的女生都很不缺钱', '问：为什么大三的女生都很不缺钱?\u3000\u3000答：女大三，抱金砖。')
('为什么妈妈几个月都不给小明吃饭，但小明仍然健康成长', '问：为什么妈妈几个月都不给小明吃饭，但小明仍然健康成长?\u3000\u3000答：小明的爸爸给他饭吃啊!')
('美人鱼为什么对王子情有独钟', '问：美人鱼为什么对王子情有独钟?\u3000\u3000答：因为美人鱼不会劈腿。')
('情人节晚上，什么是男生跟女生睡觉前一定要做的事', '问：情人节晚上，什么是男生跟女生睡觉前一定要做的事?\u3000\u3000答：闭上眼睛。')
('一头猪撞在了中间的树上，为什么', '问：一头猪撞在了中间的树上，为什么?\u3000\u3000答：因为它不会脑筋急转弯。')
('天天去看病的是谁', '问：天天去看病的是谁?\u3000\u3000答：医生。')
('什么东西太阳越晒越湿而风越吹越干', '问：什么东西太阳越晒越湿而风越吹越干?\u3000\u3000答：汗水。')
('小强数学只差6分就及格，小明数学也只差6分就及格了，但小明和小强的分数不一样，为什么', '问：小强数学只差6分就及格，小明数学也只差6分就及格了，但小明和小强的分数不一样，为什么?\u3000\u3000答：一个是54分，一个是0分。')
